Sequence,Video ID,Bitrate,Quantizer,QP Step,B-Frames,IP Factor,PB Factor,Ref Number,Subme,RC Lookahead,Key-int-max
referee,Q26F4P2R,576,0,4,0,1.4,1.3,3,5,40,0
referee,ZM08PN5O,2605,0,4,0,1.4,1.3,3,5,40,0
referee,6U4XFU7A,4634,0,4,0,1.4,1.3,3,5,40,0
referee,IUVPTSAG,6663,0,4,0,1.4,1.3,3,5,40,0
referee,5MQAAMXN,8692,0,4,0,1.4,1.3,3,5,40,0
referee,NL1T386C,10721,0,4,0,1.4,1.3,3,5,40,0
referee,2FQL7U7F,12750,0,4,0,1.4,1.3,3,5,40,0
referee,2NHJ1H37,14779,0,4,0,1.4,1.3,3,5,40,0
referee,5TFJV5SA,16808,0,4,0,1.4,1.3,3,5,40,0
referee,2Y3O52I0,20000,0,4,0,1.4,1.3,3,5,40,0
referee,A4GNOLME,576,12,4,0,1.4,1.3,3,5,40,0
referee,D7AI7HHG,2605,12,4,0,1.4,1.3,3,5,40,0
referee,MFF3IKMW,4634,12,4,0,1.4,1.3,3,5,40,0
referee,DJLJABUM,6663,12,4,0,1.4,1.3,3,5,40,0
referee,FK9EUSS2,8692,12,4,0,1.4,1.3,3,5,40,0
referee,ZH62ANUV,10721,12,4,0,1.4,1.3,3,5,40,0
referee,1VSP5WW3,12750,12,4,0,1.4,1.3,3,5,40,0
referee,NAYP7BDW,14779,12,4,0,1.4,1.3,3,5,40,0
referee,1H62Z2XL,16808,12,4,0,1.4,1.3,3,5,40,0
referee,BXUEWWYS,20000,12,4,0,1.4,1.3,3,5,40,0
referee,8OIK14N8,576,25,4,0,1.4,1.3,3,5,40,0
referee,AIF3J4EN,2605,25,4,0,1.4,1.3,3,5,40,0
referee,VXACFOTZ,4634,25,4,0,1.4,1.3,3,5,40,0
referee,ORCQFGS7,6663,25,4,0,1.4,1.3,3,5,40,0
referee,XK6DIM4K,8692,25,4,0,1.4,1.3,3,5,40,0
referee,13UHG2PT,10721,25,4,0,1.4,1.3,3,5,40,0
referee,5J7404HY,12750,25,4,0,1.4,1.3,3,5,40,0
referee,C0CR9J7C,14779,25,4,0,1.4,1.3,3,5,40,0
referee,NV2C7TCX,16808,25,4,0,1.4,1.3,3,5,40,0
referee,SMUPRWSJ,20000,25,4,0,1.4,1.3,3,5,40,0
referee,UV7S8TI8,576,37,4,0,1.4,1.3,3,5,40,0
referee,Z9RZ92VD,2605,37,4,0,1.4,1.3,3,5,40,0
referee,9AN7FQP0,4634,37,4,0,1.4,1.3,3,5,40,0
referee,PIA2OLEO,6663,37,4,0,1.4,1.3,3,5,40,0
referee,P20B14AK,8692,37,4,0,1.4,1.3,3,5,40,0
referee,LCI8JDI6,10721,37,4,0,1.4,1.3,3,5,40,0
referee,GT72YPA4,12750,37,4,0,1.4,1.3,3,5,40,0
referee,NHWY8PL3,14779,37,4,0,1.4,1.3,3,5,40,0
referee,I1A93WXQ,16808,37,4,0,1.4,1.3,3,5,40,0
referee,AOKRLERQ,20000,37,4,0,1.4,1.3,3,5,40,0
referee,2VSH3XRY,576,50,4,0,1.4,1.3,3,5,40,0
referee,ML3W8IF1,2605,50,4,0,1.4,1.3,3,5,40,0
referee,PNLT0BLR,4634,50,4,0,1.4,1.3,3,5,40,0
referee,VBX40R9S,6663,50,4,0,1.4,1.3,3,5,40,0
referee,6WI0F067,8692,50,4,0,1.4,1.3,3,5,40,0
referee,K9GY8JJI,10721,50,4,0,1.4,1.3,3,5,40,0
referee,MS0X3PHP,12750,50,4,0,1.4,1.3,3,5,40,0
referee,T5T7YDHV,14779,50,4,0,1.4,1.3,3,5,40,0
referee,C5HCL88J,16808,50,4,0,1.4,1.3,3,5,40,0
referee,3APAO9QT,20000,50,4,0,1.4,1.3,3,5,40,0
ant,58RBUYZU,576,0,4,0,1.4,1.3,3,5,40,0
ant,R48USWQO,2605,0,4,0,1.4,1.3,3,5,40,0
ant,A0U0LZQP,4634,0,4,0,1.4,1.3,3,5,40,0
ant,VOOEW19M,6663,0,4,0,1.4,1.3,3,5,40,0
ant,MSEO6OYN,8692,0,4,0,1.4,1.3,3,5,40,0
ant,46DZTJM7,10721,0,4,0,1.4,1.3,3,5,40,0
ant,8BBICTUD,12750,0,4,0,1.4,1.3,3,5,40,0
ant,70IG0FB6,14779,0,4,0,1.4,1.3,3,5,40,0
ant,8B97THE9,16808,0,4,0,1.4,1.3,3,5,40,0
ant,FLVDL5HM,20000,0,4,0,1.4,1.3,3,5,40,0
ant,AU3UIP0M,576,12,4,0,1.4,1.3,3,5,40,0
ant,ITKP7WW0,2605,12,4,0,1.4,1.3,3,5,40,0
ant,5HTIF9GR,4634,12,4,0,1.4,1.3,3,5,40,0
ant,HBG4DQEO,6663,12,4,0,1.4,1.3,3,5,40,0
ant,UGP2HVEL,8692,12,4,0,1.4,1.3,3,5,40,0
ant,F4OLQ4KS,10721,12,4,0,1.4,1.3,3,5,40,0
ant,JHTQS9S7,12750,12,4,0,1.4,1.3,3,5,40,0
ant,L2G184BQ,14779,12,4,0,1.4,1.3,3,5,40,0
ant,MJ3K28JA,16808,12,4,0,1.4,1.3,3,5,40,0
ant,9W1M5QH9,20000,12,4,0,1.4,1.3,3,5,40,0
ant,RQM7UO70,576,25,4,0,1.4,1.3,3,5,40,0
ant,OEHJXKEY,2605,25,4,0,1.4,1.3,3,5,40,0
ant,TGXY0603,4634,25,4,0,1.4,1.3,3,5,40,0
ant,2MQSAXB0,6663,25,4,0,1.4,1.3,3,5,40,0
ant,NTKZOEMQ,8692,25,4,0,1.4,1.3,3,5,40,0
ant,7EY3ZKRW,10721,25,4,0,1.4,1.3,3,5,40,0
ant,38904IDM,12750,25,4,0,1.4,1.3,3,5,40,0
ant,N211OJDQ,14779,25,4,0,1.4,1.3,3,5,40,0
ant,0554DMI5,16808,25,4,0,1.4,1.3,3,5,40,0
ant,4C9MSJF3,20000,25,4,0,1.4,1.3,3,5,40,0
ant,PZAP1320,576,37,4,0,1.4,1.3,3,5,40,0
ant,OVPZVHDU,2605,37,4,0,1.4,1.3,3,5,40,0
ant,D5DONNRU,4634,37,4,0,1.4,1.3,3,5,40,0
ant,N23R4ZTN,6663,37,4,0,1.4,1.3,3,5,40,0
ant,0B8SORN1,8692,37,4,0,1.4,1.3,3,5,40,0
ant,HICSEN0J,10721,37,4,0,1.4,1.3,3,5,40,0
ant,MU0Z56JZ,12750,37,4,0,1.4,1.3,3,5,40,0
ant,9P7PYOBU,14779,37,4,0,1.4,1.3,3,5,40,0
ant,BF3MJLDX,16808,37,4,0,1.4,1.3,3,5,40,0
ant,PHSNZADN,20000,37,4,0,1.4,1.3,3,5,40,0
ant,DBMECLCL,576,50,4,0,1.4,1.3,3,5,40,0
ant,PWLEQUG2,2605,50,4,0,1.4,1.3,3,5,40,0
ant,TVTPSAM5,4634,50,4,0,1.4,1.3,3,5,40,0
ant,4LB44GRQ,6663,50,4,0,1.4,1.3,3,5,40,0
ant,WXAL731M,8692,50,4,0,1.4,1.3,3,5,40,0
ant,CS29Z9HJ,10721,50,4,0,1.4,1.3,3,5,40,0
ant,326P9L0G,12750,50,4,0,1.4,1.3,3,5,40,0
ant,O6XMU68K,14779,50,4,0,1.4,1.3,3,5,40,0
ant,40YZOJPW,16808,50,4,0,1.4,1.3,3,5,40,0
ant,LZ1UX1JJ,20000,50,4,0,1.4,1.3,3,5,40,0
misato,UVWBZXLB,576,0,4,0,1.4,1.3,3,5,40,0
misato,YOJ9PL2Z,2605,0,4,0,1.4,1.3,3,5,40,0
misato,5YLH4ZPV,4634,0,4,0,1.4,1.3,3,5,40,0
misato,HG5NIGZB,6663,0,4,0,1.4,1.3,3,5,40,0
misato,0IZ2DVEF,8692,0,4,0,1.4,1.3,3,5,40,0
misato,AUO1FU0Q,10721,0,4,0,1.4,1.3,3,5,40,0
misato,D85FH5U1,12750,0,4,0,1.4,1.3,3,5,40,0
misato,VJGFNGOB,14779,0,4,0,1.4,1.3,3,5,40,0
misato,JGKLQJLA,16808,0,4,0,1.4,1.3,3,5,40,0
misato,PR5V1VQD,20000,0,4,0,1.4,1.3,3,5,40,0
misato,KVK2M3QB,576,12,4,0,1.4,1.3,3,5,40,0
misato,08V51IG9,2605,12,4,0,1.4,1.3,3,5,40,0
misato,0T5BPD7U,4634,12,4,0,1.4,1.3,3,5,40,0
misato,3DW9Q296,6663,12,4,0,1.4,1.3,3,5,40,0
misato,0Q7K1GMG,8692,12,4,0,1.4,1.3,3,5,40,0
misato,GKDHBEDX,10721,12,4,0,1.4,1.3,3,5,40,0
misato,DBFNYM2G,12750,12,4,0,1.4,1.3,3,5,40,0
misato,N8XQPH9B,14779,12,4,0,1.4,1.3,3,5,40,0
misato,PWBMTX8K,16808,12,4,0,1.4,1.3,3,5,40,0
misato,E73YCTVN,20000,12,4,0,1.4,1.3,3,5,40,0
misato,27GE4JWE,576,25,4,0,1.4,1.3,3,5,40,0
misato,EBUZONJZ,2605,25,4,0,1.4,1.3,3,5,40,0
misato,ONDZDU4Z,4634,25,4,0,1.4,1.3,3,5,40,0
misato,3C65C0NV,6663,25,4,0,1.4,1.3,3,5,40,0
misato,UI5PC55U,8692,25,4,0,1.4,1.3,3,5,40,0
misato,W80O7ADX,10721,25,4,0,1.4,1.3,3,5,40,0
misato,I8NDHTZ2,12750,25,4,0,1.4,1.3,3,5,40,0
misato,UCUPFGVC,14779,25,4,0,1.4,1.3,3,5,40,0
misato,5HEX193L,16808,25,4,0,1.4,1.3,3,5,40,0
misato,L5HLGXJM,20000,25,4,0,1.4,1.3,3,5,40,0
misato,CW8EW3Q5,576,37,4,0,1.4,1.3,3,5,40,0
misato,WIRBI9PC,2605,37,4,0,1.4,1.3,3,5,40,0
misato,TT2C970L,4634,37,4,0,1.4,1.3,3,5,40,0
misato,3PTEQIXP,6663,37,4,0,1.4,1.3,3,5,40,0
misato,O8GWHW0G,8692,37,4,0,1.4,1.3,3,5,40,0
misato,44SKESWN,10721,37,4,0,1.4,1.3,3,5,40,0
misato,Q98Y2Q3T,12750,37,4,0,1.4,1.3,3,5,40,0
misato,SSRTENCQ,14779,37,4,0,1.4,1.3,3,5,40,0
misato,F3BRDA60,16808,37,4,0,1.4,1.3,3,5,40,0
misato,N3DDNB2V,20000,37,4,0,1.4,1.3,3,5,40,0
misato,98DMIJ1V,576,50,4,0,1.4,1.3,3,5,40,0
misato,LVFRSTEG,2605,50,4,0,1.4,1.3,3,5,40,0
misato,D17IBK2T,4634,50,4,0,1.4,1.3,3,5,40,0
misato,I2GLP496,6663,50,4,0,1.4,1.3,3,5,40,0
misato,LWJB4CPQ,8692,50,4,0,1.4,1.3,3,5,40,0
misato,LR0AV7LC,10721,50,4,0,1.4,1.3,3,5,40,0
misato,5Y0JF5YN,12750,50,4,0,1.4,1.3,3,5,40,0
misato,DW3P8JDN,14779,50,4,0,1.4,1.3,3,5,40,0
misato,3TQ5D1PU,16808,50,4,0,1.4,1.3,3,5,40,0
misato,SX162I6G,20000,50,4,0,1.4,1.3,3,5,40,0
duck,2KRSWSHC,576,0,4,0,1.4,1.3,3,5,40,0
duck,MIDRNUGW,2605,0,4,0,1.4,1.3,3,5,40,0
duck,O7D5WAPX,4634,0,4,0,1.4,1.3,3,5,40,0
duck,7Q2HUGHD,6663,0,4,0,1.4,1.3,3,5,40,0
duck,9KWXFRQV,8692,0,4,0,1.4,1.3,3,5,40,0
duck,1BEZH9Y3,10721,0,4,0,1.4,1.3,3,5,40,0
duck,CC3BNZ4A,12750,0,4,0,1.4,1.3,3,5,40,0
duck,VI5VSARQ,14779,0,4,0,1.4,1.3,3,5,40,0
duck,OICX1HJV,16808,0,4,0,1.4,1.3,3,5,40,0
duck,T40SGYVR,20000,0,4,0,1.4,1.3,3,5,40,0
duck,XDXNFTYH,576,12,4,0,1.4,1.3,3,5,40,0
duck,JNTE4974,2605,12,4,0,1.4,1.3,3,5,40,0
duck,AJ4WDCLF,4634,12,4,0,1.4,1.3,3,5,40,0
duck,YUOA82A0,6663,12,4,0,1.4,1.3,3,5,40,0
duck,7R3VRVM7,8692,12,4,0,1.4,1.3,3,5,40,0
duck,EKAWHP9V,10721,12,4,0,1.4,1.3,3,5,40,0
duck,YB3NXFQN,12750,12,4,0,1.4,1.3,3,5,40,0
duck,M8C5P0MP,14779,12,4,0,1.4,1.3,3,5,40,0
duck,4CV02G0L,16808,12,4,0,1.4,1.3,3,5,40,0
duck,KT6XJJD4,20000,12,4,0,1.4,1.3,3,5,40,0
duck,MTUH03FM,576,25,4,0,1.4,1.3,3,5,40,0
duck,UDL6K2BD,2605,25,4,0,1.4,1.3,3,5,40,0
duck,LIDXRCUF,4634,25,4,0,1.4,1.3,3,5,40,0
duck,NIE90DO3,6663,25,4,0,1.4,1.3,3,5,40,0
duck,KSMSQB3J,8692,25,4,0,1.4,1.3,3,5,40,0
duck,1AG0ALKQ,10721,25,4,0,1.4,1.3,3,5,40,0
duck,P1NPUH0B,12750,25,4,0,1.4,1.3,3,5,40,0
duck,00INCKWS,14779,25,4,0,1.4,1.3,3,5,40,0
duck,5PRDVDV2,16808,25,4,0,1.4,1.3,3,5,40,0
duck,49JSAKS8,20000,25,4,0,1.4,1.3,3,5,40,0
duck,LBGOW5S2,576,37,4,0,1.4,1.3,3,5,40,0
duck,X4761A4G,2605,37,4,0,1.4,1.3,3,5,40,0
duck,C75BYLSW,4634,37,4,0,1.4,1.3,3,5,40,0
duck,7UXPP8IR,6663,37,4,0,1.4,1.3,3,5,40,0
duck,LGA7VETB,8692,37,4,0,1.4,1.3,3,5,40,0
duck,SL9KB5UY,10721,37,4,0,1.4,1.3,3,5,40,0
duck,WFOVZW4Q,12750,37,4,0,1.4,1.3,3,5,40,0
duck,VUE6N8OM,14779,37,4,0,1.4,1.3,3,5,40,0
duck,038F5M4C,16808,37,4,0,1.4,1.3,3,5,40,0
duck,059VZ17I,20000,37,4,0,1.4,1.3,3,5,40,0
duck,1SQXC6X5,576,50,4,0,1.4,1.3,3,5,40,0
duck,TNQNK2OI,2605,50,4,0,1.4,1.3,3,5,40,0
duck,V5VZNVQH,4634,50,4,0,1.4,1.3,3,5,40,0
duck,569VYFZM,6663,50,4,0,1.4,1.3,3,5,40,0
duck,XJBEJRMW,8692,50,4,0,1.4,1.3,3,5,40,0
duck,XDYGFVDZ,10721,50,4,0,1.4,1.3,3,5,40,0
duck,UCYTGIQS,12750,50,4,0,1.4,1.3,3,5,40,0
duck,VBYWY9EJ,14779,50,4,0,1.4,1.3,3,5,40,0
duck,8U6IOXS3,16808,50,4,0,1.4,1.3,3,5,40,0
duck,5UCDYZXL,20000,50,4,0,1.4,1.3,3,5,40,0
