Sequence,Video ID,Bitrate,Quantizer,QP Step,B-Frames,IP Factor,PB Factor,Ref Number,Subme,RC Lookahead,PSNR(dB),SSIM,Cbleed,Ringing,Blurring,VIF,Compression Ratio (%)
referee,DTJBJD8M,576,0,4,0,1.4,1.3,1,5,0,32.946204207461086,0.888323480784893,93.19077117211611,21.68908601520503,8.326652868281531,5.993470874324846,87.92622696686529
referee,0UICEJXK,5184,0,4,0,1.4,1.3,1,5,0,36.19148133909624,0.9604599305987358,90.25175930748456,19.870229174535396,4.308204530890574,5.952043858506949,79.59218516075589
referee,QWSJAH8S,14016,0,4,0,1.4,1.3,1,5,0,36.871003358795605,0.9726558569073676,86.5478772243924,15.785022926545857,4.0107160803097255,5.884600833494086,76.7224121491124
referee,G2J964D8,20000,0,4,0,1.4,1.3,1,5,0,37.16927264717715,0.9757491585612296,84.99049964192706,13.828919327784336,3.9634679712447753,5.822606375385805,75.85922998859385
referee,B4ZQ9POV,576,0,4,0,1.4,1.3,1,5,10,33.12254526216381,0.8942788165807724,91.62126899474346,21.85587217100028,6.802984262419268,6.025281763599538,86.53167442194153
referee,04HD3CBN,5184,0,4,0,1.4,1.3,1,5,10,36.23010147739058,0.9617248570919036,89.955284016927,19.153530214199453,4.2434548621861765,5.940066006783695,79.30917109317298
referee,CV1TTM7C,14016,0,4,0,1.4,1.3,1,5,10,36.94183364041581,0.9732453322410584,86.25353264853395,14.727222362034794,3.995399313491785,5.851218885834619,76.63805911538984
referee,QV0GS1TV,20000,0,4,0,1.4,1.3,1,5,10,37.23676890708714,0.9760224488377572,84.66448814139659,12.704798217875538,3.955790916387154,5.775837393100561,75.90015811848173
referee,3HMEQVBP,576,0,4,0,1.4,1.3,1,5,40,32.974722061942146,0.8934096902608871,93.2239478081597,21.793128050103988,6.812145951786498,6.0199879533179015,86.51187721687452
referee,YEAM61QI,5184,0,4,0,1.4,1.3,1,5,40,36.21646308252655,0.9614385801553726,89.99399856288575,19.04787588543328,4.242702376776816,5.935712341660232,79.37525026998344
referee,YDQA26WZ,14016,0,4,0,1.4,1.3,1,5,40,36.9300845171985,0.9730720129609108,86.31837552203899,14.605557789639615,3.994832354559719,5.845653719778808,76.6942839362937
referee,VN2J9O8T,20000,0,4,0,1.4,1.3,1,5,40,37.23417123831894,0.9759808307886124,84.67370337215476,12.55369469387008,3.9545449505123615,5.770970947466563,75.9136659815814
referee,MSCM6P0T,576,0,4,0,1.4,1.3,1,5,250,33.00480694246074,0.8932847651839256,91.15277926311734,21.8077305721431,6.8362872476804855,6.011760108828449,86.68096254112172